id,date,client_id,card_id,amount,use_chip,merchant_id,merchant_city,merchant_state,zip,mcc,mcc_description,errors,is_fraud
7145055,2015-06-06 21:00:00,568,2795,$235.24,Chip Transaction,13890,Phoenix,PA,88997,5813,Drinking Places (Alcoholic Beverages),DECLINE CODE 101,1
9615101,2016-02-06 12:32:00,1714,3983,$491.21,Chip Transaction,41228,San Diego,MI,50723,7549,Towing Services,DECLINE CODE 203,1
9894009,2016-10-07 17:46:00,709,1431,$840.29,Swipe Transaction,53478,Houston,IL,77365,7549,Towing Services,DECLINE CODE 101,1
9905470,2015-10-06 20:35:00,1651,2325,$23.09,Chip Transaction,53348,Philadelphia,TX,41636,6300,"Insurance Sales, Underwriting",DECLINE CODE 203,1
9946129,2015-06-01 07:04:00,1796,4331,$53.73,Chip Transaction,71409,San Antonio,FL,54622,4411,Cruise Lines,DECLINE CODE 101,1
7082874,2015-08-24 23:55:00,602,3272,$829.64,Chip Transaction,17008,Phoenix,GA,23346,3006,Miscellaneous Fabricated Metal Products,DECLINE CODE 203,1
9074547,2016-10-19 11:03:00,618,2977,$597.93,Swipe Transaction,21812,San Antonio,FL,63986,5941,Sporting Goods Stores,DECLINE CODE 203,1
7193790,2016-04-29 00:05:00,325,3200,$711.30,Swipe Transaction,58715,Phoenix,TX,50504,5411,"Grocery Stores, Supermarkets",DECLINE CODE 203,1
8719806,2015-10-13 14:10:00,1839,4696,$410.62,Swipe Transaction,82166,Chicago,TX,56899,3393,Heat Treating Metal Services,DECLINE CODE 101,1
8854825,2015-12-19 02:17:00,693,4876,$353.20,Chip Transaction,56186,San Antonio,NY,24773,5499,Miscellaneous Food Stores,DECLINE CODE 203,1
7482154,2015-04-21 13:43:00,1760,3053,$155.96,Chip Transaction,91009,Houston,NY,59372,5712,"Furniture, Home Furnishings, and Equipment Stores",DECLINE CODE 203,1
7352207,2016-03-15 09:50:00,1309,3769,$959.26,Chip Transaction,74845,Houston,NY,78031,5499,Miscellaneous Food Stores,DECLINE CODE 101,1
8444547,2015-02-25 23:43:00,147,2393,$-412.66,Chip Transaction,75959,Dallas,FL,86474,5719,Miscellaneous Home Furnishing Stores,DECLINE CODE 203,1
8774451,2015-04-25 02:53:00,1680,3752,$966.68,Swipe Transaction,23127,Philadelphia,PA,81499,5719,Miscellaneous Home Furnishing Stores,DECLINE CODE 101,1
9994057,2016-03-17 00:33:00,1392,4328,$439.52,Chip Transaction,62060,Phoenix,IL,57011,7538,Automotive Service Shops,DECLINE CODE 101,1
9593149,2015-06-04 04:51:00,360,1794,$130.08,Swipe Transaction,91588,Chicago,MI,51487,3144,Floor Covering Stores,DECLINE CODE 203,1
9131292,2015-05-16 15:08:00,677,2591,$944.84,Chip Transaction,37399,San Jose,GA,83048,7549,Towing Services,DECLINE CODE 203,1
9344958,2016-08-27 00:16:00,1987,3741,$-497.25,Chip Transaction,98723,Los Angeles,OH,74377,5814,Fast Food Restaurants,DECLINE CODE 101,1
9907203,2016-03-18 04:01:00,806,1284,$-114.10,Swipe Transaction,27831,San Antonio,NC,74621,5733,Music Stores - Musical Instruments,DECLINE CODE 101,1
7216175,2015-03-14 06:25:00,845,2664,$796.10,Chip Transaction,25404,Los Angeles,PA,61989,4214,Motor Freight Carriers and Trucking,DECLINE CODE 101,1
8885197,2016-05-20 16:47:00,1316,1944,$809.07,Swipe Transaction,98730,Los Angeles,PA,79630,3387,"Electroplating, Plating, Polishing Services",DECLINE CODE 203,1
9286690,2015-12-11 06:00:00,1441,1028,$581.19,Swipe Transaction,58071,Dallas,FL,35683,3005,Miscellaneous Metal Fabrication,DECLINE CODE 101,1
8174900,2015-05-31 20:35:00,1242,2776,$-120.06,Swipe Transaction,22151,Phoenix,OH,86294,5192,"Books, Periodicals, Newspapers",DECLINE CODE 203,1
7481945,2016-07-25 09:18:00,1575,2868,$743.57,Chip Transaction,74487,Dallas,MI,67330,6300,"Insurance Sales, Underwriting",DECLINE CODE 101,1
9125352,2016-02-17 13:09:00,526,1321,$991.19,Chip Transaction,36133,San Diego,NC,23208,3174,Upholstery and Drapery Stores,DECLINE CODE 101,1
9114891,2015-02-08 12:03:00,374,1741,$501.75,Swipe Transaction,19219,Dallas,FL,62876,5816,Digital Goods - Games,DECLINE CODE 203,1
8243347,2015-01-17 22:37:00,1849,2696,$814.98,Chip Transaction,27910,Philadelphia,PA,22764,3000,Steelworks,DECLINE CODE 203,1
7446459,2015-03-03 04:12:00,747,3427,$322.48,Chip Transaction,50565,Houston,IL,59860,5311,Department Stores,DECLINE CODE 203,1
8209247,2016-05-12 20:54:00,1605,3124,$54.90,Swipe Transaction,50869,Houston,MI,85738,3393,Heat Treating Metal Services,DECLINE CODE 203,1
7259631,2015-09-30 02:34:00,1055,3934,$734.62,Swipe Transaction,77406,Philadelphia,PA,28170,3771,Railroad Passenger Transport,DECLINE CODE 203,1
8435365,2015-06-12 14:03:00,1808,4461,$-358.69,Swipe Transaction,37234,Philadelphia,TX,17030,6300,"Insurance Sales, Underwriting",DECLINE CODE 101,1
9534713,2015-05-27 06:11:00,1889,4899,$176.33,Swipe Transaction,95044,Philadelphia,CA,72659,3359,Non-Ferrous Metal Foundries,DECLINE CODE 101,1
7453752,2016-10-18 18:08:00,1134,4535,$277.80,Swipe Transaction,70793,Phoenix,OH,13396,4112,Passenger Railways,DECLINE CODE 203,1
8452288,2015-11-20 01:12:00,337,2330,$142.61,Swipe Transaction,97869,Houston,CA,48447,5310,Discount Stores,DECLINE CODE 203,1
7690917,2015-12-09 15:31:00,611,2917,$101.43,Chip Transaction,43638,Dallas,OH,97090,4814,Telecommunication Services,DECLINE CODE 203,1
8440818,2015-05-06 13:42:00,1553,1822,$743.10,Chip Transaction,81882,San Antonio,NC,62455,8049,Podiatrists,DECLINE CODE 203,1
9847975,2016-08-14 19:53:00,343,4809,$-430.31,Swipe Transaction,18373,New York,GA,66876,3395,Welding Repair,DECLINE CODE 101,1
8897692,2015-07-24 20:11:00,1296,4610,$711.84,Chip Transaction,76835,San Antonio,TX,71941,5977,Cosmetic Stores,DECLINE CODE 101,1
8041277,2016-03-21 02:04:00,1190,4024,$901.30,Chip Transaction,79530,San Antonio,MI,49942,3509,Industrial Equipment and Supplies,DECLINE CODE 203,1
8554836,2016-08-12 05:37:00,476,5000,$646.32,Swipe Transaction,91831,San Jose,IL,65145,3684,Semiconductors and Related Devices,DECLINE CODE 203,1
8283338,2016-11-13 19:40:00,1883,4300,$-399.69,Swipe Transaction,51207,Chicago,FL,16626,3132,Leather Goods,DECLINE CODE 101,1
9357456,2015-01-16 08:48:00,1120,1089,$382.93,Chip Transaction,76874,Los Angeles,OH,87612,3780,Computer Network Services,DECLINE CODE 203,1
8139021,2015-01-20 00:07:00,814,3101,$-30.74,Chip Transaction,84333,Phoenix,GA,24975,5655,"Sports Apparel, Riding Apparel Stores",DECLINE CODE 203,1
8693741,2015-04-02 01:39:00,1675,2654,$851.27,Swipe Transaction,81636,Los Angeles,OH,37198,3775,Railroad Freight,DECLINE CODE 101,1
8492042,2015-02-25 06:48:00,475,3220,$859.64,Swipe Transaction,97335,Los Angeles,TX,36130,5261,Lawn and Garden Supply Stores,DECLINE CODE 101,1
8166998,2015-10-20 19:39:00,1277,4596,$879.88,Swipe Transaction,15655,Los Angeles,OH,28464,5411,"Grocery Stores, Supermarkets",DECLINE CODE 101,1
7744405,2015-03-14 12:09:00,256,4252,$-411.15,Chip Transaction,54967,Houston,NC,46436,3008,Steel Drums and Barrels,DECLINE CODE 203,1
7085217,2016-04-19 11:55:00,681,2746,$816.24,Swipe Transaction,79074,San Antonio,IL,41715,3144,Floor Covering Stores,DECLINE CODE 203,1
8587057,2015-09-16 16:44:00,1800,4554,$161.67,Chip Transaction,42235,Dallas,OH,48610,5541,Service Stations,DECLINE CODE 203,1
7724312,2016-08-23 18:28:00,1576,1384,$458.65,Swipe Transaction,86088,Los Angeles,CA,58835,7393,"Detective Agencies, Security Services",DECLINE CODE 101,1
7685408,2016-10-16 18:35:00,1608,1516,$801.64,Chip Transaction,34511,New York,NY,82579,5655,"Sports Apparel, Riding Apparel Stores",DECLINE CODE 203,1
8544425,2016-08-28 17:00:00,933,2511,$-18.70,Chip Transaction,51004,San Antonio,NC,49002,8041,Chiropractors,DECLINE CODE 203,1
7911514,2016-03-16 08:05:00,1881,4651,$972.92,Swipe Transaction,33492,San Diego,PA,50882,5733,Music Stores - Musical Instruments,DECLINE CODE 203,1
8531902,2016-08-18 08:20:00,736,4974,$982.66,Swipe Transaction,61917,San Antonio,CA,22739,3359,Non-Ferrous Metal Foundries,DECLINE CODE 203,1
